chapter,title,word_count,characters,events,source_url,parsed_at
117,112. [Holy War. (1)],3074,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-117,2026-05-27T17:44:00.225378
118,113. [Holy War. (2)],3375,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-118,2026-05-27T17:44:00.230382
119,114. [Holy War. (3)],2359,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-119,2026-05-27T17:44:00.234439
120,115. [Black Wedding. (1)],2905,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-120,2026-05-27T17:44:00.238906
121,116. [Black Wedding. (2)],2659,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-121,2026-05-27T17:44:00.243735
122,117. [Black Wedding. (3)],2090,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-122,2026-05-27T17:44:00.247819
123,118. [Black Wedding. (4)],2456,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-123,2026-05-27T17:44:00.252026
124,119. [Hero. (1)],2639,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-124,2026-05-27T17:44:00.256185
125,120. [Hero. (2)],2134,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-125,2026-05-27T17:44:00.260838
126,121. [Hero. (3)],2261,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-126,2026-05-27T17:44:00.265099
127,122. [Utopia. (1)],2263,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-127,2026-05-27T17:44:00.269150
128,123. [Utopia. (2)],2882,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-128,2026-05-27T17:44:00.273416
129,124. [Utopia. (3)],2385,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-129,2026-05-27T17:44:00.278284
130,125. [The Demon World. (1)],2526,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-130,2026-05-27T17:44:00.282493
131,126. [The Demon World. (2)],3140,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-131,2026-05-27T17:44:00.287070
132,127. [The Demon World. (3)],2704,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-132,2026-05-27T17:44:00.291803
133,128. [Compatriot. (1)],2270,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-133,2026-05-27T17:44:00.296109
134,129. [Compatriot. (2)],3222,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-134,2026-05-27T17:44:00.300599
135,130. [Compatriot. (3)],2302,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-135,2026-05-27T17:44:00.304612
136,131. [Wasteland. (1)],2535,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-136,2026-05-27T17:44:00.309559
137,132. [Wasteland. (2)],2227,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-137,2026-05-27T17:44:00.313818
